step,intersection_id,vehicle_count,queue_length,waiting_time,average_speed,congestion_level
1,node_0_0,1,0,0.0,13.89,0
2,node_0_0,1,0,0.0,12.87,0
3,node_0_0,1,0,0.0,13.67,0
4,node_0_0,2,0,0.0,13.4,0
5,node_0_0,2,0,0.0,13.17,0
6,node_0_0,2,0,0.0,13.49,0
7,node_0_0,2,0,0.0,13.59,0
8,node_0_0,2,0,0.0,13.05,0
9,node_0_0,2,0,0.0,13.01,0
10,node_0_0,2,0,0.0,12.67,0
11,node_0_0,3,0,0.0,13.29,0
12,node_0_0,3,0,0.0,13.14,0
13,node_0_0,3,0,0.0,12.55,0
14,node_0_0,3,0,0.0,13.03,0
15,node_0_0,3,0,0.0,12.98,0
16,node_0_0,5,0,0.0,13.44,0
17,node_0_0,5,0,0.0,12.96,0
18,node_0_0,5,0,0.0,13.14,0
19,node_0_0,5,0,0.0,13.14,0
20,node_0_0,5,0,0.0,13.3,0
21,node_0_0,5,0,0.0,12.91,0
22,node_0_0,5,0,0.0,13.05,0
23,node_0_0,5,0,0.0,12.74,0
24,node_0_0,5,0,0.0,12.84,0
25,node_0_0,5,0,0.0,12.75,0
26,node_0_0,5,0,0.0,13.2,0
27,node_0_0,5,0,0.0,13.03,0
28,node_0_0,6,0,0.0,12.92,0
29,node_0_0,6,0,0.0,13.04,0
30,node_0_0,6,0,0.0,12.78,0
31,node_0_0,7,0,0.0,13.04,0
32,node_0_0,7,0,0.0,13.03,0
33,node_0_0,8,0,0.0,12.87,0
34,node_0_0,8,0,0.0,12.8,0
35,node_0_0,8,0,0.0,12.89,0
36,node_0_0,9,0,0.0,12.74,0
37,node_0_0,9,0,0.0,12.77,0
38,node_0_0,9,0,0.0,12.23,0
39,node_0_0,9,0,0.0,11.54,0
40,node_0_0,10,0,0.0,11.41,0
41,node_0_0,9,0,0.0,11.12,0
42,node_0_0,9,1,1.0,11.11,0
43,node_0_0,10,1,2.0,11.18,0
44,node_0_0,10,1,3.0,11.17,0
45,node_0_0,10,1,4.0,11.3,0
46,node_0_0,12,1,5.0,11.58,0
47,node_0_0,13,1,6.0,11.76,0
48,node_0_0,13,1,7.0,11.43,0
49,node_0_0,13,1,8.0,11.5,0
50,node_0_0,14,1,9.0,11.24,0
51,node_0_0,14,1,10.0,11.09,0
52,node_0_0,15,1,11.0,10.86,0
53,node_0_0,14,2,13.0,10.28,0
54,node_0_0,14,3,16.0,9.93,1
55,node_0_0,14,3,19.0,9.83,1
56,node_0_0,14,3,22.0,9.98,1
