step,intersection_id,vehicle_count,queue_length,waiting_time,average_speed,congestion_level
1,node_0_0,1,0,0.0,13.89,0
1,node_0_1,0,0,0.0,13.89,0
1,node_1_0,0,0,0.0,13.89,0
1,node_1_1,0,0,0.0,13.89,0
2,node_0_0,1,0,0.0,12.87,0
2,node_0_1,0,0,0.0,13.89,0
2,node_1_0,0,0,0.0,13.89,0
2,node_1_1,0,0,0.0,13.89,0
3,node_0_0,1,0,0.0,13.67,0
3,node_0_1,0,0,0.0,13.89,0
3,node_1_0,1,0,0.0,13.03,0
3,node_1_1,0,0,0.0,13.89,0
4,node_0_0,2,0,0.0,13.4,0
4,node_0_1,0,0,0.0,13.89,0
4,node_1_0,1,0,0.0,12.56,0
4,node_1_1,0,0,0.0,13.89,0
5,node_0_0,2,0,0.0,13.17,0
5,node_0_1,1,0,0.0,13.89,0
5,node_1_0,1,0,0.0,12.2,0
5,node_1_1,0,0,0.0,13.89,0
6,node_0_0,2,0,0.0,13.49,0
6,node_0_1,2,0,0.0,13.59,0
6,node_1_0,1,0,0.0,12.77,0
6,node_1_1,0,0,0.0,13.89,0
7,node_0_0,2,0,0.0,13.59,0
7,node_0_1,2,0,0.0,12.95,0
7,node_1_0,2,0,0.0,12.27,0
7,node_1_1,0,0,0.0,13.89,0
8,node_0_0,2,0,0.0,13.05,0
8,node_0_1,2,0,0.0,13.48,0
8,node_1_0,2,0,0.0,11.37,0
8,node_1_1,0,0,0.0,13.89,0
9,node_0_0,2,0,0.0,13.01,0
9,node_0_1,2,0,0.0,13.51,0
9,node_1_0,2,0,0.0,11.49,0
9,node_1_1,1,0,0.0,13.89,0
10,node_0_0,2,0,0.0,12.67,0
10,node_0_1,2,0,0.0,13.34,0
10,node_1_0,2,0,0.0,11.54,0
10,node_1_1,2,0,0.0,12.99,0
11,node_0_0,3,0,0.0,13.29,0
11,node_0_1,2,0,0.0,13.04,0
11,node_1_0,2,0,0.0,11.16,0
11,node_1_1,2,0,0.0,12.26,0
12,node_0_0,3,0,0.0,13.14,0
12,node_0_1,2,0,0.0,13.38,0
12,node_1_0,2,0,0.0,11.85,0
12,node_1_1,2,0,0.0,12.35,0
13,node_0_0,3,0,0.0,12.55,0
13,node_0_1,2,0,0.0,13.5,0
13,node_1_0,2,0,0.0,11.39,0
13,node_1_1,3,0,0.0,12.04,0
14,node_0_0,3,0,0.0,13.03,0
14,node_0_1,2,0,0.0,12.74,0
14,node_1_0,2,0,0.0,11.83,0
14,node_1_1,3,0,0.0,11.81,0
15,node_0_0,3,0,0.0,12.98,0
15,node_0_1,2,0,0.0,13.44,0
15,node_1_0,2,0,0.0,11.91,0
15,node_1_1,3,0,0.0,11.8,0
16,node_0_0,5,0,0.0,13.44,0
16,node_0_1,2,0,0.0,13.34,0
16,node_1_0,2,0,0.0,11.89,0
16,node_1_1,3,0,0.0,11.89,0
17,node_0_0,5,0,0.0,12.96,0
17,node_0_1,2,0,0.0,13.61,0
17,node_1_0,2,0,0.0,11.61,0
17,node_1_1,3,0,0.0,12.06,0
18,node_0_0,5,0,0.0,13.14,0
18,node_0_1,2,0,0.0,13.07,0
18,node_1_0,2,0,0.0,11.76,0
18,node_1_1,3,0,0.0,12.08,0
19,node_0_0,5,0,0.0,13.14,0
19,node_0_1,2,0,0.0,13.46,0
19,node_1_0,2,0,0.0,12.19,0
19,node_1_1,3,0,0.0,11.79,0
20,node_0_0,5,0,0.0,13.3,0
20,node_0_1,2,0,0.0,13.37,0
20,node_1_0,2,0,0.0,12.16,0
20,node_1_1,3,0,0.0,12.2,0
21,node_0_0,6,0,0.0,12.61,0
21,node_0_1,2,0,0.0,12.84,0
21,node_1_0,2,0,0.0,11.79,0
21,node_1_1,3,0,0.0,11.83,0
22,node_0_0,6,0,0.0,12.64,0
22,node_0_1,2,0,0.0,13.35,0
22,node_1_0,3,0,0.0,12.28,0
22,node_1_1,3,0,0.0,12.04,0
23,node_0_0,6,0,0.0,12.39,0
23,node_0_1,2,0,0.0,12.99,0
23,node_1_0,4,0,0.0,12.55,0
23,node_1_1,3,0,0.0,12.46,0
24,node_0_0,6,0,0.0,12.52,0
24,node_0_1,3,0,0.0,13.66,0
24,node_1_0,4,0,0.0,12.24,0
24,node_1_1,5,0,0.0,12.35,0
25,node_0_0,6,0,0.0,12.62,0
25,node_0_1,3,0,0.0,12.87,0
25,node_1_0,4,0,0.0,12.48,0
25,node_1_1,5,0,0.0,12.17,0
26,node_0_0,6,0,0.0,12.67,0
26,node_0_1,3,0,0.0,13.49,0
26,node_1_0,4,0,0.0,12.58,0
26,node_1_1,5,0,0.0,11.86,0
27,node_0_0,6,0,0.0,12.9,0
27,node_0_1,4,0,0.0,13.36,0
27,node_1_0,4,0,0.0,12.46,0
27,node_1_1,5,0,0.0,12.01,0
28,node_0_0,7,0,0.0,12.47,0
28,node_0_1,4,0,0.0,13.16,0
28,node_1_0,4,0,0.0,12.2,0
28,node_1_1,5,0,0.0,11.81,0
29,node_0_0,7,0,0.0,12.68,0
29,node_0_1,4,0,0.0,13.33,0
29,node_1_0,4,0,0.0,12.37,0
29,node_1_1,5,0,0.0,12.17,0
30,node_0_0,7,0,0.0,12.59,0
30,node_0_1,4,0,0.0,13.22,0
30,node_1_0,4,0,0.0,12.26,0
30,node_1_1,5,0,0.0,11.61,0
31,node_0_0,9,0,0.0,12.57,0
31,node_0_1,4,0,0.0,13.33,0
31,node_1_0,4,0,0.0,12.11,0
31,node_1_1,5,0,0.0,11.88,0
32,node_0_0,9,0,0.0,12.71,0
32,node_0_1,4,0,0.0,13.28,0
32,node_1_0,4,0,0.0,12.58,0
32,node_1_1,5,0,0.0,12.06,0
33,node_0_0,9,0,0.0,12.65,0
33,node_0_1,4,0,0.0,12.81,0
33,node_1_0,4,0,0.0,12.12,0
33,node_1_1,5,0,0.0,11.86,0
34,node_0_0,9,0,0.0,12.63,0
34,node_0_1,4,0,0.0,13.17,0
