step,intersection_id,vehicle_count,queue_length,waiting_time,average_speed,congestion_level
1,node_0_0,1,0,0.0,13.89,0
1,node_0_1,0,0,0.0,13.89,0
1,node_1_0,0,0,0.0,13.89,0
1,node_1_1,0,0,0.0,13.89,0
2,node_0_0,1,0,0.0,12.87,0
2,node_0_1,0,0,0.0,13.89,0
2,node_1_0,1,0,0.0,13.03,0
2,node_1_1,0,0,0.0,13.89,0
3,node_0_0,2,0,0.0,13.78,0
3,node_0_1,0,0,0.0,13.89,0
3,node_1_0,1,0,0.0,12.56,0
3,node_1_1,0,0,0.0,13.89,0
4,node_0_0,2,0,0.0,12.85,0
4,node_0_1,1,0,0.0,13.89,0
4,node_1_0,1,0,0.0,12.2,0
4,node_1_1,0,0,0.0,13.89,0
5,node_0_0,3,0,0.0,13.63,0
5,node_0_1,2,0,0.0,12.41,0
5,node_1_0,1,0,0.0,12.77,0
5,node_1_1,0,0,0.0,13.89,0
6,node_0_0,3,0,0.0,13.56,0
6,node_0_1,2,0,0.0,11.77,0
6,node_1_0,3,0,0.0,13.07,0
6,node_1_1,0,0,0.0,13.89,0
7,node_0_0,4,0,0.0,13.03,0
7,node_0_1,2,0,0.0,12.3,0
7,node_1_0,3,0,0.0,12.33,0
7,node_1_1,1,0,0.0,11.9,0
8,node_0_0,4,0,0.0,12.76,0
8,node_0_1,3,0,0.0,12.85,0
8,node_1_0,3,0,0.0,11.96,0
8,node_1_1,2,0,0.0,12.78,0
9,node_0_0,5,0,0.0,13.32,0
9,node_0_1,4,0,0.0,12.8,0
9,node_1_0,3,0,0.0,12.58,0
9,node_1_1,2,0,0.0,12.06,0
10,node_0_0,6,0,0.0,12.53,0
10,node_0_1,4,0,0.0,12.68,0
10,node_1_0,5,0,0.0,12.45,0
10,node_1_1,3,0,0.0,12.46,0
11,node_0_0,7,0,0.0,12.66,0
11,node_0_1,4,0,0.0,12.6,0
11,node_1_0,5,0,0.0,12.16,0
11,node_1_1,4,0,0.0,11.37,0
12,node_0_0,7,0,0.0,12.81,0
12,node_0_1,5,0,0.0,13.07,0
12,node_1_0,5,0,0.0,12.57,0
12,node_1_1,5,0,0.0,11.72,0
13,node_0_0,8,0,0.0,12.96,0
13,node_0_1,6,0,0.0,12.7,0
13,node_1_0,5,0,0.0,12.18,0
13,node_1_1,5,0,0.0,12.07,0
14,node_0_0,8,0,0.0,13.1,0
14,node_0_1,6,0,0.0,12.6,0
14,node_1_0,7,0,0.0,12.32,0
14,node_1_1,5,0,0.0,12.38,0
15,node_0_0,10,0,0.0,13.07,0
15,node_0_1,6,0,0.0,12.68,0
15,node_1_0,7,0,0.0,11.94,0
15,node_1_1,6,0,0.0,12.92,0
16,node_0_0,10,0,0.0,12.85,0
16,node_0_1,7,0,0.0,12.6,0
16,node_1_0,7,0,0.0,11.8,0
16,node_1_1,8,0,0.0,12.43,0
17,node_0_0,11,0,0.0,12.85,0
17,node_0_1,8,0,0.0,12.91,0
17,node_1_0,7,0,0.0,11.69,0
17,node_1_1,8,0,0.0,12.21,0
18,node_0_0,11,0,0.0,12.9,0
18,node_0_1,8,0,0.0,12.92,0
18,node_1_0,9,0,0.0,12.49,0
18,node_1_1,8,0,0.0,12.61,0
19,node_0_0,12,0,0.0,12.91,0
19,node_0_1,8,0,0.0,12.7,0
19,node_1_0,9,0,0.0,12.31,0
19,node_1_1,9,0,0.0,12.82,0
20,node_0_0,12,0,0.0,12.9,0
20,node_0_1,9,0,0.0,12.8,0
20,node_1_0,9,0,0.0,12.21,0
20,node_1_1,10,0,0.0,13.0,0
21,node_0_0,13,0,0.0,13.03,0
21,node_0_1,10,0,0.0,12.89,0
21,node_1_0,9,0,0.0,12.14,0
21,node_1_1,10,0,0.0,12.63,0
22,node_0_0,14,0,0.0,12.84,0
22,node_0_1,10,0,0.0,12.64,0
22,node_1_0,11,0,0.0,12.49,0
22,node_1_1,11,0,0.0,12.77,0
23,node_0_0,15,0,0.0,12.95,0
23,node_0_1,10,0,0.0,12.74,0
23,node_1_0,11,0,0.0,12.58,0
23,node_1_1,12,0,0.0,12.45,0
24,node_0_0,15,0,0.0,13.05,0
24,node_0_1,11,0,0.0,12.66,0
24,node_1_0,11,0,0.0,12.39,0
24,node_1_1,13,0,0.0,12.49,0
25,node_0_0,16,0,0.0,12.97,0
25,node_0_1,12,0,0.0,12.62,0
25,node_1_0,11,0,0.0,12.42,0
25,node_1_1,13,0,0.0,12.34,0
26,node_0_0,16,0,0.0,12.79,0
26,node_0_1,12,0,0.0,12.66,0
26,node_1_0,13,0,0.0,12.65,0
26,node_1_1,13,0,0.0,12.4,0
27,node_0_0,18,0,0.0,12.92,0
27,node_0_1,12,0,0.0,12.81,0
27,node_1_0,13,0,0.0,12.42,0
27,node_1_1,14,0,0.0,12.68,0
28,node_0_0,18,0,0.0,12.73,0
28,node_0_1,13,0,0.0,12.8,0
28,node_1_0,13,0,0.0,12.67,0
28,node_1_1,16,0,0.0,12.67,0
29,node_0_0,19,0,0.0,12.75,0
29,node_0_1,14,0,0.0,12.79,0
29,node_1_0,13,0,0.0,12.56,0
29,node_1_1,16,0,0.0,12.27,0
30,node_0_0,19,0,0.0,12.93,0
30,node_0_1,14,0,0.0,12.62,0
30,node_1_0,15,0,0.0,12.76,0
30,node_1_1,16,0,0.0,12.54,0
31,node_0_0,21,0,0.0,12.69,0
31,node_0_1,14,0,0.0,12.85,0
31,node_1_0,15,0,0.0,12.62,0
31,node_1_1,17,0,0.0,12.52,0
32,node_0_0,21,0,0.0,12.84,0
32,node_0_1,15,0,0.0,12.63,0
32,node_1_0,15,0,0.0,12.5,0
32,node_1_1,18,0,0.0,12.43,0
33,node_0_0,22,0,0.0,12.74,0
33,node_0_1,16,0,0.0,12.87,0
33,node_1_0,15,0,0.0,12.44,0
33,node_1_1,18,0,0.0,12.56,0
34,node_0_0,23,0,0.0,12.41,0
34,node_0_1,16,0,0.0,12.86,0
